ID=3222 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:080 - S/br)                      | W=0.80 | D=1.08 | H=0.86 | PA=0.00 | M3=0.740
ID=3227 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:090 - 1Br:020)                   | W=1.10 | D=1.08 | H=0.86 | PA=0.00 | M3=1.020
ID=3235 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:090 - 1Me:055)                   | W=1.45 | D=1.08 | H=0.86 | PA=0.00 | M3=1.350
ID=3223 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:090 - S/br)                      | W=0.90 | D=1.08 | H=0.86 | PA=0.00 | M3=0.840
ID=3228 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:100 - 1Br:020)                   | W=1.20 | D=1.08 | H=0.86 | PA=0.00 | M3=1.110
ID=3236 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:100 - 1Me:055)                   | W=1.55 | D=1.08 | H=0.86 | PA=0.00 | M3=1.440
ID=3224 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:100 - S/br)                      | W=1.00 | D=1.08 | H=0.86 | PA=0.00 | M3=0.930
ID=3229 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:110 - 1Br:020)                   | W=1.30 | D=1.08 | H=0.86 | PA=0.00 | M3=1.210
ID=3237 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:110 - 1Me:055)                   | W=1.65 | D=1.08 | H=0.86 | PA=0.00 | M3=1.530
ID=3225 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:110 - S/br)                      | W=1.10 | D=1.08 | H=0.86 | PA=0.00 | M3=1.020
ID=3238 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:120 - 1Me:055)                   | W=1.75 | D=1.08 | H=0.86 | PA=0.00 | M3=1.630
ID=3239 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:130 - 1Me:055)                   | W=1.85 | D=1.08 | H=0.86 | PA=0.00 | M3=1.720
ID=3240 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:140 - 1Me:055)                   | W=1.95 | D=1.08 | H=0.86 | PA=0.00 | M3=1.810
ID=3230 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:080 - 1Br:020)                   | W=1.80 | D=1.08 | H=0.86 | PA=0.00 | M3=1.670
ID=3241 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:080 - 1Me:055)                   | W=2.15 | D=1.08 | H=0.86 | PA=0.00 | M3=2.000
ID=3231 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:090 - 1Br:020)                   | W=2.00 | D=1.08 | H=0.86 | PA=0.00 | M3=1.860
ID=3242 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:090 - 1Me:055)                   | W=2.35 | D=1.08 | H=0.86 | PA=0.00 | M3=2.180
ID=3232 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:100 - 1Br:020)                   | W=2.20 | D=1.08 | H=0.86 | PA=0.00 | M3=2.040
ID=3243 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:100 - 1Me:055)                   | W=2.55 | D=1.08 | H=0.86 | PA=0.00 | M3=2.370
ID=3233 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (2Ass:110 - 1Br:020)                   | W=2.40 | D=1.08 | H=0.86 | PA=0.00 | M3=2.230
