Row 103 | Model: ESTOFADO MIWA             | Desc: Algodão - Bipartido (1Ass:206 - 2Br:20) - 6 Almofadas | W=2.46 | D=0.98 | H=0.87 | PA=0.00 | M3=2.411 | Prices=[None, None, None, 6063.2880000000005, None, None, None, None, None]
Row 104 | Model: ESTOFADO MIWA             | Desc: Algodão - Bipartido (1Ass:226 - 2Br:20) - 8 Almofadas | W=2.66 | D=0.98 | H=0.87 | PA=0.00 | M3=2.607 | Prices=[None, None, None, 6343.176000000002, None, None, None, None, None]
Row 105 | Model: ESTOFADO MIWA             | Desc: Algodão - Bipartido (1Ass:246 - 2Br:20) - 8 Almofadas | W=2.86 | D=0.98 | H=0.87 | PA=0.00 | M3=2.803 | Prices=[None, None, None, 6480.264000000001, None, None, None, None, None]
Row 106 | Model: ESTOFADO MIWA             | Desc: Algodão - Bipartido (1Ass:266 - 2Br:20) - 8 Almofadas | W=3.06 | D=0.98 | H=0.87 | PA=0.00 | M3=2.999 | Prices=[None, None, None, 6660.192000000001, None, None, None, None, None]
Row 108 | Model: ESTOFADO MIWA             | Desc: Capa Inteira (1Ass:166 - 2Br:20) - 6 Almofadas | W=2.06 | D=0.98 | H=0.87 | PA=0.00 | M3=2.019 | Prices=[None, None, None, 1529.236275, None, None, None, None, None]
Row 109 | Model: ESTOFADO MIWA             | Desc: Capa Inteira (1Ass:186 - 2Br:20) - 6 Almofadas | W=2.26 | D=0.98 | H=0.87 | PA=0.00 | M3=2.215 | Prices=[None, None, None, 1599.3332250000003, None, None, None, None, None]
Row 110 | Model: ESTOFADO MIWA             | Desc: Capa Inteira (1Ass:206 - 2Br:20) - 6 Almofadas | W=2.46 | D=0.98 | H=0.87 | PA=0.00 | M3=2.411 | Prices=[None, None, None, 1672.464675, None, None, None, None, None]
Row 111 | Model: ESTOFADO MIWA             | Desc: Capa Inteira (1Ass:226 - 2Br:20) - 8 Almofadas | W=2.66 | D=0.98 | H=0.87 | PA=0.00 | M3=2.607 | Prices=[None, None, None, 1955.8869750000001, None, None, None, None, None]
Row 112 | Model: ESTOFADO MIWA             | Desc: Capa Inteira (1Ass:246 - 2Br:20) - 8 Almofadas | W=2.86 | D=0.98 | H=0.87 | PA=0.00 | M3=2.803 | Prices=[None, None, None, 2031.8253374999995, None, None, None, None, None]
Row 113 | Model: ESTOFADO MIWA             | Desc: Capa Inteira (1Ass:266 - 2Br:20) - 8 Almofadas | W=3.06 | D=0.98 | H=0.87 | PA=0.00 | M3=2.999 | Prices=[None, None, None, 2107.7636999999995, None, None, None, None, None]
Row 117 | Model: ESTOFADO MOA              | Desc: Bipartido (2Ass:090 - 1Br:015)           | W=1.95 | D=1.02 | H=0.90 | PA=0.00 | M3=1.989 | Prices=[4780.08496875, 4872.469875, 5017.64615625, 5149.62459375, 5294.800875000001, 5439.97715625, 5585.1534375, 5835.91246875, 6245.045625]
Row 118 | Model: ESTOFADO MOA              | Desc: Bipartido (2Ass:100 - 1Br:015)           | W=2.15 | D=1.02 | H=0.90 | PA=0.00 | M3=2.193 | Prices=[5070.872625000001, 5168.333625, 5321.4866250000005, 5460.716625, 5613.869625, 5767.0226250000005, 5920.175625, 6184.712624999999, 6616.325625]
